Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
COGNIT,cognit_stress_cpu,2,2,2100,2586.0,2066,3106,0.0,0.39072096580265586,0.39072096580265586,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
,Aggregated,2,2,2100,2586.0,2066,3106,0.0,0.39072096580265586,0.39072096580265586,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
