Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
COGNIT,cognit_stress_cpu,29,0,20000,20589.58620689655,2175,39434,16.862068965517242,0.496029551375816,0.0,20000,27000,30000,32000,36000,38000,39000,39000,39000,39000,39000
,Aggregated,29,0,20000,20589.58620689655,2175,39434,16.862068965517242,0.496029551375816,0.0,20000,27000,30000,32000,36000,38000,39000,39000,39000,39000,39000
