Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
COGNIT,cognit_stress_cpu,202,0,4900,4746.663366336634,2088,6936,16.91089108910891,3.4222468407842985,0.0,4900,5100,5800,5900,6000,6000,6100,6300,6900,6900,6900
,Aggregated,202,0,4900,4746.663366336634,2088,6936,16.91089108910891,3.4222468407842985,0.0,4900,5100,5800,5900,6000,6000,6100,6300,6900,6900,6900
