Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
COGNIT,cognit_stress_cpu,92,0,9800,9853.847826086956,8030,13820,16.83695652173913,1.5602944376078527,0.0,9900,10000,11000,12000,12000,12000,14000,14000,14000,14000,14000
,Aggregated,92,0,9800,9853.847826086956,8030,13820,16.83695652173913,1.5602944376078527,0.0,9900,10000,11000,12000,12000,12000,14000,14000,14000,14000,14000
